time,open,high,low,close,volume
2022-10-10 20:00:00,116.42,116.7,116.0,116.0,51124
2022-10-10 19:00:00,116.2,116.42,116.03,116.42,31003
2022-10-10 18:00:00,116.4,116.7,116.0479,116.2455,64118
2022-10-10 17:00:00,116.7,116.86,116.35,116.39,762142
2022-10-10 16:00:00,116.94,118.025,116.55,116.65,10891019
2022-10-10 15:00:00,117.49,117.78,116.33,116.92,7365016
2022-10-10 14:00:00,115.17,118.08,114.46,117.508,8324012
2022-10-10 13:00:00,116.6,116.61,114.96,115.18,5865981
2022-10-10 12:00:00,114.675,116.9499,114.47,116.5927,9935995
2022-10-10 11:00:00,116.465,117.12,114.0812,114.675,13341447
2022-10-10 10:00:00,120.67,121.2432,116.352,116.46,10289803
2022-10-10 09:00:00,119.6997,120.75,119.0515,120.5201,930078
2022-10-10 08:00:00,119.4,119.91,119.23,119.69,53200
2022-10-10 07:00:00,119.36,119.41,119.22,119.25,11898
2022-10-10 06:00:00,119.31,119.81,119.15,119.8,12389
2022-10-10 05:00:00,120.28,120.28,118.92,119.18,43992
2022-10-07 20:00:00,120.08,120.34,120.0,120.24,48584
2022-10-07 19:00:00,120.25,120.35,120.0,120.0,32162
2022-10-07 18:00:00,120.48,120.5,120.25,120.25,46450
2022-10-07 17:00:00,120.81,120.81,120.2559,120.48,1062466
2022-10-07 16:00:00,121.27,121.94,120.22,120.78,12798358
2022-10-07 15:00:00,121.91,122.0,120.96,121.27,6835438
2022-10-07 14:00:00,122.56,122.81,121.841,121.9293,6044985
2022-10-07 13:00:00,122.98,123.31,121.74,122.565,6355801
2022-10-07 12:00:00,124.2503,124.75,122.34,122.98,8787316
2022-10-07 11:00:00,124.845,126.08,124.1702,124.241,10803271
2022-10-07 10:00:00,125.55,126.7,124.52,124.84,9672071
2022-10-07 09:00:00,127.3,127.67,123.81,125.51,991085
2022-10-07 08:00:00,127.35,127.67,127.24,127.44,84474
2022-10-07 07:00:00,127.2,127.43,127.02,127.28,15249
2022-10-07 06:00:00,127.52,127.63,127.32,127.32,10833
2022-10-07 05:00:00,127.92,127.95,126.64,127.52,60511
2022-10-06 20:00:00,127.62,127.86,127.15,127.18,107143
2022-10-06 19:00:00,127.58,128.16,127.4,127.51,131668
2022-10-06 18:00:00,128.3524,128.4,127.25,127.64,320257
2022-10-06 17:00:00,131.3,131.41,126.5,128.43,955876
2022-10-06 16:00:00,131.64,132.06,131.03,131.3,7058680
2022-10-06 15:00:00,133.23,133.2595,131.09,131.662,5519329
2022-10-06 14:00:00,132.8,133.57,132.41,133.2255,4809956
2022-10-06 13:00:00,132.51,133.28,131.775,132.79,6180847
2022-10-06 12:00:00,134.45,134.62,132.39,132.5399,10550359
2022-10-06 11:00:00,134.88,134.97,131.45,134.46,15889600
2022-10-06 10:00:00,132.0,136.56,131.57,134.86,10902509
2022-10-06 09:00:00,130.57,132.5,130.2193,132.0,426737
2022-10-06 08:00:00,130.2,131.27,130.2,131.0,99945
2022-10-06 07:00:00,130.29,130.5,130.0,130.12,47458
2022-10-06 06:00:00,130.6,130.77,130.4,130.4,6561
2022-10-06 05:00:00,132.15,132.34,130.24,130.6,70644
2022-10-05 20:00:00,132.14,133.0,132.05,133.0,53937
2022-10-05 19:00:00,131.73,132.14,131.27,132.14,35140
2022-10-05 18:00:00,131.9,131.9673,131.45,131.63,41933
2022-10-05 17:00:00,132.05,132.28,131.7164,131.97,737628
2022-10-05 16:00:00,132.01,133.21,131.72,132.08,9498118
2022-10-05 15:00:00,130.54,132.04,130.4,132.0,5570266
2022-10-05 14:00:00,130.17,131.68,130.06,130.54,5854825
2022-10-05 13:00:00,128.835,130.54,128.255,130.175,5705517
2022-10-05 12:00:00,126.68,128.89,126.66,128.8259,5976306
2022-10-05 11:00:00,127.98,128.09,126.21,126.7,8176160
2022-10-05 10:00:00,129.52,129.83,127.1456,128.0205,7555274
2022-10-05 09:00:00,130.6,131.341,129.49,129.6,213987
2022-10-05 08:00:00,130.55,130.69,130.18,130.44,37380
2022-10-05 07:00:00,130.2,130.84,130.15,130.65,9191
2022-10-05 06:00:00,130.5,130.71,130.06,130.06,14353
2022-10-05 05:00:00,131.46,131.46,129.9,130.65,46530
2022-10-04 20:00:00,131.35,131.85,131.3,131.85,48092
2022-10-04 19:00:00,131.77,132.0,131.13,131.25,78096
2022-10-04 18:00:00,131.88,131.95,131.75,131.8,62828
2022-10-04 17:00:00,131.67,131.88,131.54,131.88,1586810
2022-10-04 16:00:00,131.55,131.88,130.725,131.71,9113747
2022-10-04 15:00:00,130.62,131.56,130.16,131.555,5340754
2022-10-04 14:00:00,130.3592,130.85,129.1818,130.6,6159067
2022-10-04 13:00:00,132.08,132.09,130.23,130.355,5925230
2022-10-04 12:00:00,132.11,132.2,131.13,132.0699,7800047
2022-10-04 11:00:00,129.37,132.1327,129.37,132.12,9878301
2022-10-04 10:00:00,128.6,130.2,128.09,129.3699,9417833
2022-10-04 09:00:00,128.5575,128.97,124.808,128.57,499830
2022-10-04 08:00:00,128.72,128.91,128.6,128.86,112637
2022-10-04 07:00:00,128.52,129.31,128.52,128.88,36558
2022-10-04 06:00:00,128.47,128.75,128.01,128.57,28036
2022-10-04 05:00:00,127.11,128.59,126.9,128.34,48115
2022-10-03 20:00:00,125.3,126.2,125.3,126.2,47238
2022-10-03 19:00:00,125.4699,125.65,125.2,125.23,50826
2022-10-03 18:00:00,125.49,125.49,125.4345,125.4503,41225
2022-10-03 17:00:00,125.09,125.6,124.5288,125.4609,891848
2022-10-03 16:00:00,126.29,126.78,124.8614,125.13,8468253
2022-10-03 15:00:00,125.42,126.5234,125.2,126.285,7192547
2022-10-03 14:00:00,124.48,125.74,124.3,125.4199,4736011
2022-10-03 13:00:00,124.3499,125.39,124.02,124.48,5756572
2022-10-03 12:00:00,124.67,125.8974,124.0574,124.3491,7919539
2022-10-03 11:00:00,122.72,125.18,122.63,124.63,9676156
2022-10-03 10:00:00,122.6,123.8,121.05,122.69,6754777
2022-10-03 09:00:00,121.0044,122.9,120.6,122.73,249704
2022-10-03 08:00:00,121.01,122.0,121.01,122.0,62377
2022-10-03 07:00:00,120.91,121.19,120.7,121.19,5713
2022-10-03 06:00:00,120.36,120.87,120.19,120.8,90770
2022-10-03 05:00:00,120.96,120.97,120.09,120.4,30203
2022-09-30 20:00:00,121.55,121.59,121.13,121.13,55660
2022-09-30 19:00:00,121.66,121.7,121.5,121.59,17377
2022-09-30 18:00:00,121.43,121.7,121.4,121.6,31811
2022-09-30 17:00:00,121.39,122.04,121.15,121.41,1057187
2022-09-30 16:00:00,122.34,123.15,121.32,121.37,10072835
2022-09-30 15:00:00,122.8438,123.47,122.13,122.36,5756245
2022-09-30 14:00:00,124.125,124.385,122.729,122.85,5226446
2022-09-30 13:00:00,124.85,124.8899,123.8198,124.12,4987703
2022-09-30 12:00:00,125.785,126.33,124.6588,124.8303,7795882
2022-09-30 11:00:00,123.59,125.83,123.1,125.7792,9950675
2022-09-30 10:00:00,121.32,124.38,120.05,123.575,7922719
2022-09-30 09:00:00,122.46,122.8888,120.18,121.1,426567
2022-09-30 08:00:00,122.45,122.45,121.6,121.95,74908
2022-09-30 07:00:00,122.82,122.9,122.4,122.4,9537
2022-09-30 06:00:00,123.32,123.35,122.5,122.57,17605
2022-09-30 05:00:00,123.0,123.35,122.62,123.3,27445
2022-09-29 20:00:00,121.88,122.21,121.8,122.08,58802
2022-09-29 19:00:00,121.79,122.09,121.63,121.87,42995
2022-09-29 18:00:00,122.14,122.46,121.65,121.78,37830
2022-09-29 17:00:00,122.2,122.45,121.52,122.15,1035128
2022-09-29 16:00:00,120.17,122.6,120.17,122.25,9922266
2022-09-29 15:00:00,120.0249,120.5399,119.4601,120.169,6135675
2022-09-29 14:00:00,121.2183,121.24,120.0,120.04,4566764
2022-09-29 13:00:00,122.26,122.7,121.0501,121.1833,5302267
2022-09-29 12:00:00,121.67,123.65,121.22,122.26,5970422
2022-09-29 11:00:00,122.43,122.5917,120.35,121.6611,9443778
2022-09-29 10:00:00,124.46,125.0,122.31,122.425,7917325
2022-09-29 09:00:00,125.74,127.042,124.48,124.52,333122
2022-09-29 08:00:00,125.55,126.24,125.48,125.68,71005
2022-09-29 07:00:00,125.52,125.71,124.93,125.71,19613
2022-09-29 06:00:00,125.38,125.88,125.38,125.68,16258
2022-09-29 05:00:00,126.0,126.0,124.8,125.15,23827
2022-09-28 20:00:00,127.05,127.1,126.53,126.82,52149
2022-09-28 19:00:00,127.2,127.36,127.01,127.03,27723
2022-09-28 18:00:00,127.1705,127.24,127.1705,127.21,27004
2022-09-28 17:00:00,127.36,127.41,127.15,127.2,808954
2022-09-28 16:00:00,126.685,128.23,126.56,127.28,8758225
2022-09-28 15:00:00,125.81,126.88,125.65,126.67,4587186
2022-09-28 14:00:00,125.55,126.37,125.29,125.85,5595591
2022-09-28 13:00:00,127.31,127.425,125.16,125.54,6749957
2022-09-28 12:00:00,126.36,127.5,126.02,127.31,6618050
2022-09-28 11:00:00,125.89,127.1,124.85,126.35,9053901
2022-09-28 10:00:00,123.53,126.51,123.25,125.88,9168398
